N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
1	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
2	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	42
3	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
4	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	41
0	0,00353781928819076	6,00000240000096E-05	0	5	8332782,5	300	0	0	40
