N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	2
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	3
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	2
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	2
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	2
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	2
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	2
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	1	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	2
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	2
9	1	3.00000030000003E-05	0	15	0	1000	5	1	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	2
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	1
9	1	3.00000030000003E-05	0	15	0	1000	5	1	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	2
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	1	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	2
6	1	3.00000030000003E-05	0	15	0	1000	5	0	2
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	1	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	2
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	4
2	1	3.00000030000003E-05	0	15	0	1000	5	1	3
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	2
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	3
8	1	3.00000030000003E-05	0	15	0	1000	5	0	2
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	1	1
1	1	3.00000030000003E-05	0	15	0	1000	5	1	3
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	2
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	1	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	1
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	1	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	3
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	1
9	1	3.00000030000003E-05	0	15	0	1000	5	1	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	3
2	1	3.00000030000003E-05	0	15	0	1000	5	1	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	2
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	2
8	1	3.00000030000003E-05	0	15	0	1000	5	0	2
9	1	3.00000030000003E-05	0	15	0	1000	5	1	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	3
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	0
3	1	3.00000030000003E-05	0	15	0	1000	5	0	2
4	1	3.00000030000003E-05	0	15	0	1000	5	0	2
5	1	3.00000030000003E-05	0	15	0	1000	5	0	3
6	1	3.00000030000003E-05	0	15	0	1000	5	1	0
7	1	3.00000030000003E-05	0	15	0	1000	5	1	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	3
2	1	3.00000030000003E-05	0	15	0	1000	5	0	3
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	2
9	1	3.00000030000003E-05	0	15	0	1000	5	1	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	0
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	2
6	1	3.00000030000003E-05	0	15	0	1000	5	1	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	0
8	1	3.00000030000003E-05	0	15	0	1000	5	0	1
9	1	3.00000030000003E-05	0	15	0	1000	5	0	0
0	1	3.00000030000003E-05	0	15	0	1000	5	0	2
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	2	2
3	1	3.00000030000003E-05	0	15	0	1000	5	1	1
4	1	3.00000030000003E-05	0	15	0	1000	5	1	2
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	1
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	2
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	0
7	1	3.00000030000003E-05	0	15	0	1000	5	0	2
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	2	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	0
5	1	3.00000030000003E-05	0	15	0	1000	5	1	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	2
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	2
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	2
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	1
1	1	3.00000030000003E-05	0	15	0	1000	5	0	1
2	1	3.00000030000003E-05	0	15	0	1000	5	0	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	3
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	0
6	1	3.00000030000003E-05	0	15	0	1000	5	1	2
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	0	0
9	1	3.00000030000003E-05	0	15	0	1000	5	1	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	2
1	1	3.00000030000003E-05	0	15	0	1000	5	0	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	2
3	1	3.00000030000003E-05	0	15	0	1000	5	0	2
4	1	3.00000030000003E-05	0	15	0	1000	5	0	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	2
6	1	3.00000030000003E-05	0	15	0	1000	5	0	1
7	1	3.00000030000003E-05	0	15	0	1000	5	0	1
8	1	3.00000030000003E-05	0	15	0	1000	5	1	1
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	0	0
1	1	3.00000030000003E-05	0	15	0	1000	5	1	1
2	1	3.00000030000003E-05	0	15	0	1000	5	1	1
3	1	3.00000030000003E-05	0	15	0	1000	5	0	1
4	1	3.00000030000003E-05	0	15	0	1000	5	1	1
5	1	3.00000030000003E-05	0	15	0	1000	5	0	1
6	1	3.00000030000003E-05	0	15	0	1000	5	0	2
7	1	3.00000030000003E-05	0	15	0	1000	5	0	2
8	1	3.00000030000003E-05	0	15	0	1000	5	1	0
9	1	3.00000030000003E-05	0	15	0	1000	5	0	1
0	1	3.00000030000003E-05	0	15	0	1000	5	1	2
1	1	3.00000030000003E-05	0	15	0	1000	5	1	0
2	1	3.00000030000003E-05	0	15	0	1000	5	0	2
