N	freq_sync	freq_sync	delay_pulse	width_pulse	delay_det	width_det	mascara	ADC0	ADC1
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
1	28266	1666666	0	60	0	0	0	0
2	28266	1666666	0	60	0	0	0	0
3	28266	1666666	0	60	0	0	0	0
4	28266	1666666	0	60	0	0	0	0
0	28266	1666666	0	60	0	0	0	0
